,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,voice_actor_count,character_count,director_count
373,Mulan,19-Jun-98,Adventure,G,A,"[1, 1, 50, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
374,Song of the South,12-Nov-46,Adventure,G,S,"[1, 1, 1]","[1, 1, 1]",
375,The Black Hole,21-Dec-79,,,B,,,
376,Raising Helen,28-May-04,Comedy,PG-13,C,,,
377,A Gun in Betty Lou's Handbag,21-Aug-92,,PG-13,D,,,
378,The Air Up There,7-Jan-94,Comedy,PG,C,,,
379,Roommates,3-Mar-95,Comedy,PG,C,,,
380,Morning Light,17-Oct-08,Documentary,PG,D,,,
381,Valiant,19-Aug-05,Adventure,G,C,,,
382,Down and Out in Beverly Hills,31-Jan-86,Comedy,R,B,,,
383,Tarzan,16-Jun-99,Adventure,G,A,"[2, 1, 1, 1, 1, 2, 2, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 2, 2, 1]",2.0
384,The Royal Tenenbaums,14-Dec-01,Black Comedy,R,B,,,
385,James and the Giant Peach,12-Apr-96,Adventure,PG,C,,,
386,"Mystery, Alaska",1-Oct-99,Comedy,R,D,,,
387,Last Dance,3-May-96,Drama,R,D,,,
388,My Science Project,9-Aug-85,Comedy,,D,,,
389,Homeward Bound II: Lost in San Franc…,8-Mar-96,Adventure,G,C,,,
390,The Muppets,23-Nov-11,Comedy,PG,B,,,
391,Turner & Hooch,28-Jul-89,Comedy,PG,B,,,
392,Oceans,22-Apr-10,Documentary,G,C,,,
393,It's Pat,26-Aug-94,Comedy,,D,,,
394,The Finest Hours,29-Jan-16,Thriller/Suspense,PG,C,,,
395,Shoot to Kill,12-Feb-88,Action,,C,,,
396,Hannah Montana the Movie,10-Apr-09,Drama,G,B,,,
397,First Kid,30-Aug-96,Comedy,PG,C,,,
398,Consenting Adults,16-Oct-92,Drama,R,C,,,
399,Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,C,,,
400,Sorority Boys,22-Mar-02,Comedy,R,D,,,
401,Simon Birch,11-Sep-98,Drama,PG,C,,,
402,In the Army Now,12-Aug-94,Comedy,PG,C,,,
403,Bad Company,7-Jun-02,Action,PG-13,C,,,
404,Wreck-It Ralph,2-Nov-12,Adventure,PG,A,"[50, 1, 1, 1, 1, 1, 50, 1, 3, 1, 1, 50, 1, 1, 50, 2, 50, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
405,Iron Man 3,3-May-13,Action,PG-13,A,,,
406,Cinderella,15-Feb-50,Drama,G,S,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 7, 50, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
407,One Magic Christmas,22-Nov-85,Drama,,C,,,
408,Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,B,,,
409,WALL-E,27-Jun-08,Adventure,G,A,,,
410,Aladdin,11-Nov-92,Comedy,G,A,"[22, 1, 1, 1, 1, 1, 50, 2, 1, 1, 22, 16, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0
411,Casanova,25-Dec-05,Drama,R,D,,,
412,Thor: The Dark World,8-Nov-13,Adventure,PG-13,A,,,
413,Monkey Kingdom,17-Apr-15,Documentary,G,D,,,
414,Ernest Saves Christmas,11-Nov-88,Comedy,PG,C,,,
415,Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,B,,,
416,Saving Mr. Banks,13-Dec-13,Drama,PG-13,B,,,
417,The Aristocats,24-Apr-70,Musical,G,A,"[2, 3, 1, 4, 2, 1, 1, 1, 1, 2, 1, 1, 4, 1, 4, 1, 3, 2, 1, 6]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.0
418,Calendar Girls,19-Dec-03,Comedy,PG-13,C,,,
419,Unstrung Heroes,15-Sep-95,Drama,PG,D,,,
420,Three Fugitives,27-Jan-89,Comedy,PG-13,B,,,
421,Tomorrowland,22-May-15,Adventure,PG,B,,,
422,The Village,30-Jul-04,Thriller/Suspense,PG-13,B,,,
423,"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,C,,,
424,Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,B,,,
425,Lincoln,9-Nov-12,Drama,PG-13,B,,,
426,The Horse Whisperer,15-May-98,Drama,PG-13,B,,,
427,Muppets Most Wanted,21-Mar-14,Comedy,PG,C,,,
428,Fantasia 2000 (IMAX),1-Jan-00,Musical,G,B,,,
429,Spaced Invaders,27-Apr-90,Comedy,PG,C,,,
430,Just Visiting,6-Apr-01,Comedy,PG-13,D,,,
431,Holes,18-Apr-03,Drama,PG,B,,,
432,The Last Shot,24-Sep-04,Comedy,R,D,,,
433,The Jungle Book,18-Oct-67,Musical,Not Rated,S,,,
434,Meet the Robinsons,30-Mar-07,Adventure,G,B,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0
435,Dead Poets Society,2-Jun-89,Drama,PG,A,,,
436,Avengers: Age of Ultron,1-May-15,Action,PG-13,A,,,
437,Man of the House,3-Mar-95,Comedy,PG,B,,,
438,Bears,18-Apr-14,Documentary,G,D,,,
439,Passed Away,24-Apr-92,,PG-13,D,,,
440,ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,D,,,
441,Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,B,"[1, 1, 1, 1, 4, 8, 1, 1, 1, 1, 3, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.0
442,Ernest Goes to Camp,22-May-87,Comedy,,C,,,
443,Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,D,,,
444,Spy Hard,24-May-96,Comedy,PG-13,C,,,
445,Snow Dogs,18-Jan-02,Comedy,PG,B,,,
446,Frankenweenie,5-Oct-12,Comedy,PG,C,,,
447,Tuck Everlasting,11-Oct-02,Drama,PG,C,,,
448,Hauru no ugoku shiro,10-Jun-05,Adventure,PG,D,,,
449,Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,D,,,
450,Return to Oz,21-Jun-85,Adventure,,C,,,
451,Disney's A Christmas Carol,6-Nov-09,Drama,PG,B,,,
452,Prefontaine,24-Jan-97,Drama,PG-13,D,,,
453,Beaches,21-Dec-88,Drama,PG-13,B,,,
454,101 Dalmatians,25-Jan-61,Comedy,G,S,,,
455,The Last Song,31-Mar-10,Drama,PG,C,,,
456,Father Hood,27-Aug-93,,PG-13,D,,,
457,Encino Man,22-May-92,Comedy,PG,B,,,
458,Sweet Home Alabama,27-Sep-02,Comedy,PG-13,B,,,
459,Play it to the Bone,24-Dec-99,Comedy,R,D,,,
460,The Odd Life of Timothy Green,15-Aug-12,Drama,PG,C,,,
461,Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,B,,,
462,Hercules,13-Jun-97,Adventure,G,B,"[1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 16, 1, 22, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0
